objectid,parentid,title,proprietor,date_start,date_end,date_text,HoMER_venue,description,seats_number,address,location,latitude,longitude,source,format,display_template,description_file,filename,object_location,image_small,image_thumb
icp-0109,,"Queen's Picture House, Belfast",Joseph Russell,1915,,,Theatre,,,250-56 York Street,Belfast,54.613316,-5.924242425,,,cinema_site,,,,/objects/small/queens-ph_belfast_bnl_12-oct-1923_sm.jpg,/objects/thumbs/queens-ph_belfast_bnl_12-oct-1923_th.jpg
icp-0109a,icp-0109,,,,,,,,,,,,,,image/jpeg,image,,queens-ph_belfast_bnl_12-oct-1923.jpg,/objects/queens-ph_belfast_bnl_12-oct-1923.jpg,/objects/small/queens-ph_belfast_bnl_12-oct-1923_sm.jpg,/objects/thumbs/queens-ph_belfast_bnl_12-oct-1923_th.jpg
icp-0110,,"Willowfield Picture House, Belfast",Willowfield Unionist Club,1915,,,Theatre,,,209-215 Woodstock Road,Belfast,54.592173,-5.904105,,,cinema_site,,,,/objects/small/willowfield-ph_belfast_cinema-treasures_sm.jpg,/objects/thumbs/willowfield-ph_belfast_cinema-treasures_th.jpg
icp-0110a,icp-0110,,,,,,,,,,,,,,image/jpeg,image,,willowfield-ph_belfast_cinema-treasures.jpg,/objects/willowfield-ph_belfast_cinema-treasures.jpg,/objects/small/willowfield-ph_belfast_cinema-treasures_sm.jpg,/objects/thumbs/willowfield-ph_belfast_cinema-treasures_th.jpg
icp-0111,,"Midland Picture House, Belfast",Joe McKribben,1916,,,Theatre,,,Canning Street,Belfast,54.611724,-5.924627,,,cinema_site,,,,/objects/small/midland-ph_belfast_bet_6-mar-1916p1_sm.jpg,/objects/thumbs/midland-ph_belfast_bet_6-mar-1916p1_th.jpg
icp-0111a,icp-0111,,,,,,,,,,,,,,image/jpeg,image,,midland-ph_belfast_bet_6-mar-1916p1.jpg,/objects/midland-ph_belfast_bet_6-mar-1916p1.jpg,/objects/small/midland-ph_belfast_bet_6-mar-1916p1_sm.jpg,/objects/thumbs/midland-ph_belfast_bet_6-mar-1916p1_th.jpg
icp-0112,,"Duncairn Picture Palace, Belfast",Lavery Brothers,1916,,,Theatre,,,12 Duncairn Gardens,Belfast,54.6113859,-5.927613645,,,cinema_site,,,,/objects/small/duncairn-pt_belfast_cinema-treasures_sm.jpg,/objects/thumbs/duncairn-pt_belfast_cinema-treasures_th.jpg
icp-0112a,icp-0112,,,,,,,,,,,,,,image/jpeg,image,,duncairn-pt_belfast_cinema-treasures.jpg,/objects/duncairn-pt_belfast_cinema-treasures.jpg,/objects/small/duncairn-pt_belfast_cinema-treasures_sm.jpg,/objects/thumbs/duncairn-pt_belfast_cinema-treasures_th.jpg
icp-0113,,"Tivoli Picture House, Belfast",Patrick Kelly,1918,,,Theatre,,,Christian Place (Albert Street),Belfast,54.5981909,-5.945101153,,,cinema_site,,,,/objects/small/tivoli_belfast_christian-place_proni_sm.jpg,/objects/thumbs/tivoli_belfast_christian-place_proni_th.jpg
icp-0113a,icp-0113,,,,,,,,,,,,,,image/jpeg,image,,tivoli_belfast_christian-place_proni.jpg,/objects/tivoli_belfast_christian-place_proni.jpg,/objects/small/tivoli_belfast_christian-place_proni_sm.jpg,/objects/thumbs/tivoli_belfast_christian-place_proni_th.jpg
